"NotBankrupt","IndustrialRisk","ManagementRisk","FinancialFlexibilityRisk","CredibilityRisk","CompetitiveRisk","OperatingRisk"
1,1,1,0,1,1,1
1,1,1,1,0,0,1
1,1,1,0,1,0,1
1,1,1,0,0,1,1
1,1,1,1,1,0,1
1,1,1,1,0,1,1
1,-1,-1,0,1,1,-1
1,-1,-1,1,0,0,-1
1,-1,-1,0,1,0,-1
1,-1,-1,0,1,0,-1
1,-1,-1,0,0,1,-1
1,-1,-1,1,1,0,-1
1,-1,-1,1,0,1,-1
1,0,0,0,1,1,0
1,0,0,1,0,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,1,1,0,0
1,0,0,1,0,1,0
1,1,-1,0,0,0,1
1,-1,1,0,0,0,-1
1,1,-1,0,0,0,-1
1,1,-1,1,1,1,1
1,-1,1,1,1,1,-1
1,1,-1,1,1,1,-1
1,-1,-1,0,1,1,1
1,1,-1,1,0,0,1
1,-1,1,0,1,0,1
1,-1,1,0,0,1,-1
0,0,-1,-1,-1,-1,0
0,1,-1,-1,-1,-1,-1
0,-1,1,-1,-1,-1,-1
0,0,1,-1,0,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,0,-1,0
0,-1,-1,-1,-1,-1,1
0,-1,-1,-1,-1,-1,0
0,-1,-1,-1,0,-1,1
0,-1,-1,-1,0,-1,-1
0,-1,-1,0,-1,-1,-1
0,1,-1,-1,-1,-1,-1
0,0,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,1,-1,-1,-1,0,0
0,0,-1,-1,-1,-1,0
0,0,-1,-1,-1,-1,0
0,0,0,-1,-1,-1,1
0,0,-1,-1,-1,-1,-1
0,1,0,-1,-1,-1,0
0,1,-1,-1,-1,-1,1
0,1,0,-1,-1,-1,-1
0,1,-1,-1,-1,-1,-1
0,-1,0,-1,-1,-1,1
0,-1,-1,-1,-1,-1,0
0,0,0,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1
0,1,1,-1,-1,-1,-1
0,0,1,-1,-1,-1,-1
0,1,0,-1,-1,-1,-1
0,0,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,0,-1,-1,-1,-1
0,1,-1,-1,-1,-1,-1
0,-1,1,-1,-1,-1,-1
0,0,1,-1,0,-1,-1
0,-1,-1,-1,1,-1,1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,0,-1,0
0,-1,-1,-1,1,-1,-1
0,-1,-1,-1,-1,-1,1
0,-1,-1,-1,-1,-1,0
0,-1,-1,-1,0,-1,1
0,-1,-1,-1,0,-1,-1
0,-1,-1,0,-1,-1,-1
0,1,-1,-1,-1,-1,-1
0,0,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,1,-1,-1,-1,0,0
0,1,-1,-1,-1,0,0
0,0,-1,-1,-1,-1,0
0,-1,-1,-1,-1,-1,0
0,-1,1,-1,-1,-1,-1
0,0,1,-1,0,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,0,-1,0
0,-1,-1,-1,1,-1,-1
0,-1,-1,-1,-1,-1,1
0,-1,-1,-1,-1,-1,0
0,-1,-1,-1,0,-1,1
0,1,-1,-1,-1,-1,1
0,1,0,-1,-1,-1,-1
0,1,-1,-1,-1,-1,-1
0,-1,0,-1,-1,-1,1
0,-1,-1,-1,-1,-1,0
0,0,0,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1
0,-1,-1,-1,0,-1,-1
0,-1,-1,0,-1,-1,-1
0,1,-1,-1,-1,-1,-1
0,0,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,0,1,0,-1,1
0,1,-1,-1,-1,-1,-1
0,-1,0,-1,-1,-1,1
0,-1,-1,-1,-1,-1,0
0,0,0,-1,-1,-1,-1
0,0,0,-1,-1,-1,1
0,0,-1,-1,-1,-1,-1
0,1,0,-1,-1,-1,0
0,1,-1,-1,-1,-1,1
0,1,0,-1,-1,-1,-1
0,1,-1,-1,-1,-1,-1
0,-1,0,-1,-1,-1,1
0,-1,-1,-1,-1,-1,0
0,0,0,-1,-1,-1,-1
0,0,0,-1,-1,-1,-1
0,0,1,-1,-1,-1,-1
0,1,0,-1,-1,-1,-1
0,0,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,0,-1,-1,-1,-1
0,0,-1,-1,-1,-1,0
0,1,-1,-1,-1,-1,-1
0,-1,1,-1,-1,-1,-1
0,0,1,-1,0,-1,-1
0,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,0,-1,0
0,-1,-1,-1,-1,-1,1
0,-1,-1,-1,-1,-1,0
0,-1,-1,-1,0,-1,1
0,-1,-1,-1,0,-1,-1
0,-1,-1,0,-1,-1,-1
0,1,-1,-1,-1,-1,-1
0,0,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1
0,1,-1,-1,-1,0,0
